cla_id,cla_Name,mes_StudentID,course_id,sub_1,sub_2,sub_3
920,高三(08),14275,167,地理,化学,生物
920,高三(08),14277,147,地理,技术,生物
920,高三(08),14282,126,地理,政治,化学
920,高三(08),14284,125,地理,政治,物理
920,高三(08),14304,457,技术,物理,生物
920,高三(08),14308,158,地理,物理,历史
920,高三(08),14311,467,技术,化学,生物
920,高三(08),14330,150,地理,物理,
920,高三(08),14334,167,地理,化学,生物
920,高三(08),14353,257,政治,物理,生物
920,高三(08),14355,478,技术,生物,历史
920,高三(08),14360,457,技术,物理,生物
920,高三(08),14376,124,地理,政治,技术
920,高三(08),14377,145,地理,技术,物理
921,高三(01),13947,578,物理,生物,历史
921,高三(01),13950,156,地理,物理,化学
921,高三(01),13951,156,地理,物理,化学
921,高三(01),13952,150,地理,物理,
921,高三(01),13958,467,技术,化学,生物
921,高三(01),13964,456,技术,物理,化学
921,高三(01),13969,570,物理,生物,
921,高三(01),13974,156,地理,物理,化学
921,高三(01),13976,157,地理,物理,生物
921,高三(01),13978,578,物理,生物,历史
921,高三(01),13981,567,物理,化学,生物
921,高三(01),13982,156,地理,物理,化学
921,高三(01),13985,567,物理,化学,生物
921,高三(01),13987,567,物理,化学,生物
921,高三(01),13995,160,地理,化学,
921,高三(01),13996,456,技术,物理,化学
921,高三(01),13997,567,物理,化学,生物
921,高三(01),13999,156,地理,物理,化学
921,高三(01),14003,157,地理,物理,生物
921,高三(01),14005,567,物理,化学,生物
921,高三(01),14021,278,政治,生物,历史
921,高三(01),14024,567,物理,化学,生物
921,高三(01),14025,567,物理,化学,生物
921,高三(01),14030,125,地理,政治,物理
921,高三(01),14039,560,物理,化学,
921,高三(01),14041,156,地理,物理,化学
921,高三(01),14048,157,地理,物理,生物
921,高三(01),14083,567,物理,化学,生物
921,高三(01),14085,567,物理,化学,生物
921,高三(01),14111,456,技术,物理,化学
921,高三(01),14137,567,物理,化学,生物
921,高三(01),14142,156,地理,物理,化学
921,高三(01),14146,456,技术,物理,化学
921,高三(01),14152,257,政治,物理,生物
921,高三(01),14188,567,物理,化学,生物
921,高三(01),14212,567,物理,化学,生物
921,高三(01),14218,456,技术,物理,化学
921,高三(01),14221,567,物理,化学,生物
921,高三(01),14237,145,地理,技术,物理
921,高三(01),14262,257,政治,物理,生物
921,高三(01),14280,567,物理,化学,生物
921,高三(01),14340,156,地理,物理,化学
922,高三(05),13998,128,地理,政治,历史
922,高三(05),14010,567,物理,化学,生物
922,高三(05),14023,457,技术,物理,生物
922,高三(05),14034,570,物理,生物,
922,高三(05),14049,570,物理,生物,
922,高三(05),14062,147,地理,技术,生物
922,高三(05),14065,567,物理,化学,生物
922,高三(05),14093,257,政治,物理,生物
922,高三(05),14096,145,地理,技术,物理
922,高三(05),14101,157,地理,物理,生物
922,高三(05),14105,245,政治,技术,物理
922,高三(05),14108,145,地理,技术,物理
922,高三(05),14113,157,地理,物理,生物
922,高三(05),14131,146,地理,技术,化学
922,高三(05),14158,456,技术,物理,化学
922,高三(05),14165,578,物理,生物,历史
922,高三(05),14192,456,技术,物理,化学
922,高三(05),14201,456,技术,物理,化学
922,高三(05),14213,156,地理,物理,化学
922,高三(05),14217,456,技术,物理,化学
922,高三(05),14226,456,技术,物理,化学
922,高三(05),14235,156,地理,物理,化学
922,高三(05),14238,567,物理,化学,生物
922,高三(05),14283,247,政治,技术,生物
922,高三(05),14285,157,地理,物理,生物
922,高三(05),14300,567,物理,化学,生物
922,高三(05),14303,156,地理,物理,化学
922,高三(05),14306,156,地理,物理,化学
922,高三(05),14309,456,技术,物理,化学
922,高三(05),14312,570,物理,生物,
922,高三(05),14314,156,地理,物理,化学
922,高三(05),14317,157,地理,物理,生物
922,高三(05),14318,157,地理,物理,生物
922,高三(05),14322,467,技术,化学,生物
922,高三(05),14323,145,地理,技术,物理
922,高三(05),14333,157,地理,物理,生物
922,高三(05),14338,145,地理,技术,物理
922,高三(05),14350,456,技术,物理,化学
922,高三(05),14365,257,政治,物理,生物
922,高三(05),14366,168,地理,化学,历史
922,高三(05),14367,456,技术,物理,化学
922,高三(05),14374,127,地理,政治,生物
922,高三(05),14375,145,地理,技术,物理
922,高三(05),14378,456,技术,物理,化学
923,高三(09),13961,268,政治,化学,历史
923,高三(09),13979,168,地理,化学,历史
923,高三(09),13989,678,化学,生物,历史
923,高三(09),13994,267,政治,化学,生物
923,高三(09),14008,257,政治,物理,生物
923,高三(09),14015,578,物理,生物,历史
923,高三(09),14063,178,地理,生物,历史
923,高三(09),14076,267,政治,化学,生物
923,高三(09),14077,267,政治,化学,生物
923,高三(09),14081,128,地理,政治,历史
923,高三(09),14086,167,地理,化学,生物
923,高三(09),14102,267,政治,化学,生物
923,高三(09),14117,678,化学,生物,历史
923,高三(09),14118,267,政治,化学,生物
923,高三(09),14119,127,地理,政治,生物
923,高三(09),14149,278,政治,生物,历史
923,高三(09),14154,267,政治,化学,生物
923,高三(09),14160,257,政治,物理,生物
923,高三(09),14166,478,技术,生物,历史
923,高三(09),14167,178,地理,生物,历史
923,高三(09),14172,678,化学,生物,历史
923,高三(09),14176,126,地理,政治,化学
923,高三(09),14198,678,化学,生物,历史
923,高三(09),14205,157,地理,物理,生物
923,高三(09),14228,267,政治,化学,生物
923,高三(09),14231,167,地理,化学,生物
923,高三(09),14233,267,政治,化学,生物
923,高三(09),14243,678,化学,生物,历史
923,高三(09),14263,127,地理,政治,生物
923,高三(09),14264,278,政治,生物,历史
923,高三(09),14265,128,地理,政治,历史
923,高三(09),14289,170,地理,生物,
923,高三(09),14331,127,地理,政治,生物
923,高三(09),14343,267,政治,化学,生物
923,高三(09),14346,467,技术,化学,生物
923,高三(09),14357,257,政治,物理,生物
923,高三(09),14359,267,政治,化学,生物
923,高三(09),14363,120,地理,政治,
923,高三(09),14370,257,政治,物理,生物
924,高三(06),13599,156,地理,物理,化学
924,高三(06),13685,458,技术,物理,历史
924,高三(06),13960,568,物理,化学,历史
924,高三(06),13992,156,地理,物理,化学
924,高三(06),14017,156,地理,物理,化学
924,高三(06),14028,257,政治,物理,生物
924,高三(06),14038,256,政治,物理,化学
924,高三(06),14042,178,地理,生物,历史
924,高三(06),14056,156,地理,物理,化学
924,高三(06),14070,146,地理,技术,化学
924,高三(06),14074,268,政治,化学,历史
924,高三(06),14078,268,政治,化学,历史
924,高三(06),14080,678,化学,生物,历史
924,高三(06),14088,127,地理,政治,生物
924,高三(06),14094,156,地理,物理,化学
924,高三(06),14104,156,地理,物理,化学
924,高三(06),14127,147,地理,技术,生物
924,高三(06),14134,156,地理,物理,化学
924,高三(06),14138,126,地理,政治,化学
924,高三(06),14140,568,物理,化学,历史
924,高三(06),14141,156,地理,物理,化学
924,高三(06),14147,567,物理,化学,生物
924,高三(06),14161,568,物理,化学,历史
924,高三(06),14162,167,地理,化学,生物
924,高三(06),14169,168,地理,化学,历史
924,高三(06),14173,125,地理,政治,物理
924,高三(06),14180,145,地理,技术,物理
924,高三(06),14182,147,地理,技术,生物
924,高三(06),14194,456,技术,物理,化学
924,高三(06),14199,567,物理,化学,生物
924,高三(06),14220,560,物理,化学,
924,高三(06),14230,578,物理,生物,历史
924,高三(06),14242,168,地理,化学,历史
924,高三(06),14248,126,地理,政治,化学
924,高三(06),14268,267,政治,化学,生物
924,高三(06),14272,158,地理,物理,历史
924,高三(06),14292,268,政治,化学,历史
924,高三(06),14325,567,物理,化学,生物
924,高三(06),14335,578,物理,生物,历史
924,高三(06),14336,567,物理,化学,生物
924,高三(06),14351,678,化学,生物,历史
924,高三(06),14449,167,地理,化学,生物
925,高三(10),13564,124,地理,政治,技术
925,高三(10),13973,670,化学,生物,
925,高三(10),13984,278,政治,生物,历史
925,高三(10),13990,128,地理,政治,历史
925,高三(10),14000,467,技术,化学,生物
925,高三(10),14004,268,政治,化学,历史
925,高三(10),14019,278,政治,生物,历史
925,高三(10),14029,178,地理,生物,历史
925,高三(10),14047,678,化学,生物,历史
925,高三(10),14087,267,政治,化学,生物
925,高三(10),14115,125,地理,政治,物理
925,高三(10),14121,157,地理,物理,生物
925,高三(10),14143,267,政治,化学,生物
925,高三(10),14150,148,地理,技术,历史
925,高三(10),14155,278,政治,生物,历史
925,高三(10),14163,127,地理,政治,生物
925,高三(10),14185,468,技术,化学,历史
925,高三(10),14186,127,地理,政治,生物
925,高三(10),14197,145,地理,技术,物理
925,高三(10),14215,178,地理,生物,历史
925,高三(10),14224,268,政治,化学,历史
925,高三(10),14225,678,化学,生物,历史
925,高三(10),14227,245,政治,技术,物理
925,高三(10),14229,157,地理,物理,生物
925,高三(10),14250,127,地理,政治,生物
925,高三(10),14254,678,化学,生物,历史
925,高三(10),14255,278,政治,生物,历史
925,高三(10),14256,167,地理,化学,生物
925,高三(10),14261,145,地理,技术,物理
925,高三(10),14271,247,政治,技术,生物
925,高三(10),14294,156,地理,物理,化学
925,高三(10),14298,267,政治,化学,生物
925,高三(10),14316,126,地理,政治,化学
925,高三(10),14329,278,政治,生物,历史
925,高三(10),14332,127,地理,政治,生物
925,高三(10),14341,468,技术,化学,历史
925,高三(10),14345,278,政治,生物,历史
925,高三(10),14354,126,地理,政治,化学
925,高三(10),14358,267,政治,化学,生物
925,高三(10),14450,128,地理,政治,历史
